Experiment: exp1
Model: NonObs (agent1_naive_planner)

Level  H_mean  H_med  Model  Step_T   n
-----  ------  -----  -----  ------  --
s211      2.8    3.0    0.0     0.0  38
s311      4.9    4.0    0.0     0.0  25
s321      3.6    3.0    0.0     0.0  27
s331      1.3    1.0    0.0     0.0  26
s332      3.8    4.0    0.0     0.0  29
s351      3.6    4.0    0.0     0.0  24
s361      3.2    1.0    0.0     0.0  28
s362      6.4    5.0    0.0     0.0  25
s371      0.2    0.0    0.0     0.0  25
s432      7.9    9.0    0.0     0.0  25
s441      5.3    6.0    0.0     0.0  23
s442      6.9    7.0    0.0     0.0  25
s511     10.5   11.0    0.0     0.0  28
s521      7.1    7.0    0.0     0.0  26
s531      8.3    8.0    0.0     0.0  19
s532      3.7    4.0    0.0     0.0  29
s541      4.5    5.0    0.0     0.0  29
s542      3.4    3.0    0.0     0.0  20
s543      1.9    0.0    0.0     0.0  27
s544      0.5    0.0    0.0     0.0  26
