Experiment: exp1
Model: Naive (naive_observer)

Level  H_mean  H_med  Model  Step_T  H_step_med  NonObs_total   n
-----  ------  -----  -----  ------  ----------  ------------  --
s211      2.8    3.0   13.0    13.0        38.0          45.0  38
s311      4.9    4.0   13.0    13.0        39.0          52.0  25
s321      3.6    3.0   13.0    13.0        38.0          36.0  27
s331      1.3    1.0    3.0     3.0        24.0          29.0  26
s332      3.8    4.0    6.0     6.0        27.0          29.0  29
s351      3.6    4.0    8.0     8.0        32.0          35.0  24
s361      3.2    1.0    6.0     6.0        24.0          65.0  28
s362      6.4    5.0   13.0    13.0        46.0          67.0  25
s371      0.2    0.0   17.0    17.0        19.0          19.0  25
s432      7.9    9.0   16.0    16.0        61.0          69.0  25
s441      5.3    6.0    7.0     7.0        35.0          41.0  23
s442      6.9    7.0   11.0    11.0        35.0          49.0  25
s511     10.5   11.0   13.0    13.0        46.0          57.0  28
s521      7.1    7.0   13.0    13.0        42.0          36.0  26
s531      8.3    8.0   10.0    10.0        38.0          61.0  19
s532      3.7    4.0    6.0     6.0        34.0          61.0  29
s541      4.5    5.0    7.0     7.0        32.0          28.0  29
s542      3.4    3.0    4.0     4.0        40.0          37.0  20
s543      1.9    0.0   16.0    16.0        14.0          14.0  27
s544      0.5    0.0   15.0    15.0        13.0          13.0  26
