Experiment: exp2
Model: NonObs (agent1_naive_planner)

Level   H_mean  H_med  Model  Step_T   n
------  ------  -----  -----  ------  --
s221_1     3.9    1.0    0.0     0.0  19
s221_2     1.9    1.0    0.0     0.0  19
s311_1     6.1    4.0    0.0     0.0  18
s311_2     3.6    1.0    0.0     0.0  19
s321_1     4.4    3.0    0.0     0.0  21
s321_2     3.1    2.5    0.0     0.0  20
s331_1     4.8    2.0    0.0     0.0  25
s331_2     3.5    5.0    0.0     0.0  19
s332_1     4.8    4.0    0.0     0.0  19
s332_2     2.1    1.0    0.0     0.0  19
s341_1     5.8    4.0    0.0     0.0  19
s341_2     2.0    1.0    0.0     0.0  25
s342_1     3.0    3.0    0.0     0.0  22
s342_2     3.8    2.0    0.0     0.0  18
s351_1     4.5    4.0    0.0     0.0  22
s351_2     2.9    2.0    0.0     0.0  19
s361_1     6.5    6.0    0.0     0.0  19
s361_2     2.4    1.0    0.0     0.0  18
s371_1     2.3    0.0    0.0     0.0  22
s371_2     1.1    0.0    0.0     0.0  19
s411_1     6.4    7.0    0.0     0.0  16
s411_2     2.1    1.0    0.0     0.0  21
s421_1     6.4    5.0    0.0     0.0  18
s421_2     1.2    1.0    0.0     0.0  19
s431_1     9.1    9.0    0.0     0.0  19
s431_2     5.6    3.0    0.0     0.0  22
s432_1    11.1   14.0    0.0     0.0  18
s432_2     2.9    1.0    0.0     0.0  19
s441_1     4.2    4.0    0.0     0.0  19
s441_2     2.2    1.0    0.0     0.0  18
s442_1     6.1    6.0    0.0     0.0  19
s442_2     1.8    1.0    0.0     0.0  19
s511_1     9.7   11.0    0.0     0.0  18
s511_2     3.5    2.0    0.0     0.0  26
s521_1     6.9    7.0    0.0     0.0  17
s521_2     2.8    1.5    0.0     0.0  18
s531_1     5.2    5.0    0.0     0.0  19
s531_2     1.7    1.0    0.0     0.0  19
s532_1     7.7    7.0    0.0     0.0  18
s532_2     3.0    1.5    0.0     0.0  20
s541_1     5.3    5.0    0.0     0.0  19
s541_2     1.7    1.0    0.0     0.0  19
s542_1     2.6    2.0    0.0     0.0  16
s542_2     3.1    1.0    0.0     0.0  18
s543_1     2.1    0.0    0.0     0.0  25
s543_2     0.7    0.0    0.0     0.0  19
s544_1     4.0    1.0    0.0     0.0  21
s544_2     2.7    0.0    0.0     0.0  20
