Experiment: exp3
Model: NonObs (agent1_naive_planner)

Level            H2_mean  H2_med   M2  H3_mean  H3_med   M3  Step_T   n
---------------  -------  ------  ---  -------  ------  ---  ------  --
sm211_scenario1      1.1     1.0  0.0      3.6     3.0  0.0     0.0  16
sm211_scenario2      3.6     1.0  0.0      0.8     0.0  0.0     0.0  22
sm221_scenario1      0.8     1.0  0.0      2.6     1.0  0.0     0.0  17
sm221_scenario2      2.5     3.0  0.0      0.8     1.0  0.0     0.0  22
sm311_scenario1      1.1     1.0  0.0      3.3     4.0  0.0     0.0  23
sm311_scenario2      4.3     2.0  0.0      0.7     0.0  0.0     0.0  17
sm321_scenario1      0.5     0.0  0.0      1.8     3.0  0.0     0.0  13
sm321_scenario2      6.2     5.0  0.0      1.1     1.0  0.0     0.0  16
sm331_scenario1      0.8     1.0  0.0      4.3     7.0  0.0     0.0  27
sm331_scenario2      3.2     3.0  0.0      0.5     0.0  0.0     0.0  17
sm332_scenario1      0.0     0.0  0.0      0.4     0.0  0.0     0.0  24
sm332_scenario2      0.7     0.0  0.0      0.7     0.0  0.0     0.0  21
sm341_scenario1      1.3     0.0  0.0      3.7     3.0  0.0     0.0  24
sm341_scenario2      4.4     5.0  0.0      0.7     1.0  0.0     0.0  17
sm342_scenario1      2.0     0.0  0.0      1.0     0.0  0.0     0.0  21
sm342_scenario2      0.0     0.0  0.0      0.2     0.0  0.0     0.0  24
sm351_scenario1      0.5     0.0  0.0      3.0     3.0  0.0     0.0  13
sm351_scenario2      6.1     6.0  0.0      0.7     1.0  0.0     0.0  17
sm361_scenario1      4.1     4.0  0.0      1.5     0.0  0.0     0.0  25
sm361_scenario2      1.7     1.0  0.0      1.2     1.0  0.0     0.0  18
sm371_scenario1      0.8     0.0  0.0      1.3     0.0  0.0     0.0  24
sm371_scenario2      2.2     0.0  0.0      1.2     0.0  0.0     0.0  22
sm411_scenario1      1.3     1.0  0.0      6.9     7.0  0.0     0.0  17
sm411_scenario2      6.1     5.0  0.0      0.4     0.0  0.0     0.0  16
sm421_scenario1      0.1     0.0  0.0      4.3     5.0  0.0     0.0  22
sm421_scenario2      7.8     7.0  0.0      1.1     1.0  0.0     0.0  17
sm431_scenario1      0.9     0.0  0.0      3.8     5.0  0.0     0.0  27
sm431_scenario2      1.3     1.0  0.0      2.1     1.0  0.0     0.0  13
sm432_scenario1      2.1     1.0  0.0      1.2     1.0  0.0     0.0  17
sm432_scenario2      4.2     5.0  0.0      0.2     0.0  0.0     0.0  16
sm511_scenario1      0.9     1.0  0.0      7.1    11.0  0.0     0.0  21
sm511_scenario2      6.8     9.0  0.0      0.2     0.0  0.0     0.0  24
sm521_scenario1      1.5     1.0  0.0      4.8     6.0  0.0     0.0  13
sm521_scenario2      8.7     9.0  0.0      1.2     1.0  0.0     0.0  16
sm531_scenario1      0.4     0.0  0.0      4.4     5.0  0.0     0.0  16
sm531_scenario2      6.3    10.0  0.0      0.9     1.0  0.0     0.0  26
sm541_scenario1      1.9     3.0  0.0      1.0     0.0  0.0     0.0  21
sm541_scenario2      1.8     1.0  0.0      3.1     1.0  0.0     0.0  16
sm543_scenario1      0.3     0.0  0.0      1.1     0.0  0.0     0.0  26
sm543_scenario2      0.7     0.0  0.0      0.0     0.0  0.0     0.0  16
