Level ID | X_Goals (Agent2) | X_Expertise | Y_Goals (Agent3) | Y_Expertise | Primary_Goal_Type
----------------------------------------------------------------------------------------------------
sm211 | [1, 3, 3] | ['n', 'n', 'n'] | [2, 1, 2] | ['a', 'a', 'a'] | A
sm221 | [3, 1, 1] | ['a', 'a', 'a'] | [2, 3, 2] | ['n', 'n', 'n'] | C
sm311 | [1, 3, 3] | ['n', 'n', 'n'] | [2, 1, 2] | ['a', 'a', 'a'] | A
sm321 | [3, 1, 1] | ['a', 'a', 'a'] | [2, 3, 2] | ['n', 'n', 'n'] | C
sm331 | [3, 2, 2] | ['n', 'n', 'n'] | [1, 3, 1] | ['a', 'a', 'a'] | C
sm341 | [3, 2, 2] | ['a', 'a', 'a'] | [2, 1, 2] | ['n', 'n', 'n'] | C
sm351 | [1, 3, 3] | ['a', 'a', 'a'] | [2, 1, 2] | ['n', 'n', 'n'] | A
sm361 | [3, 1, 3] | ['n', 'n', 'n'] | [3, 2, 3] | ['a', 'a', 'a'] | C
sm371 | [3, 1, 1] | ['a', 'a', 'a'] | [1, 2, 1] | ['n', 'n', 'n'] | C
sm411 | [1, 3, 3] | ['n', 'n', 'n'] | [2, 1, 2] | ['a', 'a', 'a'] | A
sm421 | [3, 1, 1] | ['a', 'a', 'a'] | [2, 3, 2] | ['n', 'n', 'n'] | C
sm431 | [2, 3, 2] | ['n', 'n', 'n'] | [1, 3, 1] | ['a', 'a', 'a'] | B
sm432 | [3, 1, 3] | ['n', 'n', 'n'] | [3, 2, 2] | ['a', 'a', 'a'] | C
sm511 | [1, 3, 3] | ['n', 'n', 'n'] | [2, 1, 2] | ['a', 'a', 'a'] | A
sm521 | [3, 1, 1] | ['a', 'a', 'a'] | [2, 3, 2] | ['n', 'n', 'n'] | C
sm531 | [1, 2, 2] | ['a', 'a', 'a'] | [3, 1, 3] | ['n', 'n', 'n'] | A
sm541 | [1, 2, 1] | ['n', 'n', 'n'] | [1, 3, 1] | ['a', 'a', 'a'] | A
sm543 | [2, 1, 1] | ['a', 'a', 'a'] | [1, 3, 1] | ['n', 'n', 'n'] | B
sm611 | [1, 3, 3] | ['n', 'n', 'n'] | [2, 1, 2] | ['a', 'a', 'a'] | A
sm621 | [3, 1, 1] | ['a', 'a', 'a'] | [2, 3, 2] | ['n', 'n', 'n'] | C
sm631 | [3, 1, 1] | ['a', 'a', 'a'] | [2, 3, 2] | ['n', 'n', 'n'] | C
